pais_id,pais,año,mes,CCP,producto,Estrato_productivo,uni_med_id,cantidad
032,Argentina,2016,Abril,02211,Leche cruda,Más de 6000,%,-3
032,Argentina,2016,Mayo,02211,Leche cruda,Más de 6000,%,4
032,Argentina,2016,Junio,02211,Leche cruda,Más de 6000,%,6
032,Argentina,2016,Julio,02211,Leche cruda,Más de 6000,%,7
032,Argentina,2016,Agosto,02211,Leche cruda,Más de 6000,%,11
032,Argentina,2016,Septiembre,02211,Leche cruda,Más de 6000,%,9
032,Argentina,2016,Octubre,02211,Leche cruda,Más de 6000,%,-2
032,Argentina,2016,Noviembre,02211,Leche cruda,Más de 6000,%,0
032,Argentina,2016,Diciembre,02211,Leche cruda,Más de 6000,%,-7
032,Argentina,2017,Enero,02211,Leche cruda,Más de 6000,%,-11
032,Argentina,2017,Febrero,02211,Leche cruda,Más de 6000,%,-8
032,Argentina,2017,Marzo,02211,Leche cruda,Más de 6000,%,2
032,Argentina,2017,Abril,02211,Leche cruda,Más de 6000,%,4
032,Argentina,2017,Mayo,02211,Leche cruda,Más de 6000,%,5
032,Argentina,2017,Junio,02211,Leche cruda,Más de 6000,%,8
032,Argentina,2017,Julio,02211,Leche cruda,Más de 6000,%,7
032,Argentina,2017,Agosto,02211,Leche cruda,Más de 6000,%,9
032,Argentina,2017,Septiembre,02211,Leche cruda,Más de 6000,%,6
